Dilution,Rep,Temperature,OD,CFU
4,1,37,0.156666667,216666666.7
4,2,37,0.142966667,236666666.7
4,3,37,0.135966667,243333333.3
8,1,37,0.061616667,140000000
8,2,37,0.066816667,113333333.3
8,3,37,0.062716667,106666666.7
16,1,37,0.029566667,43666666.67
16,2,37,0.031666667,43000000
16,3,37,0.035216667,43000000
32,1,37,0.017066667,23000000
32,2,37,0.019366667,19333333.33
32,3,37,0.018216667,25666666.67
4,1,42,0.1490,373333333.3
4,2,42,0.1500,353333333.3
4,3,42,0.1409,373333333.3
8,1,42,0.0828,206666666.7
8,2,42,0.0933,225000000
8,3,42,0.0803,220000000
16,1,42,0.0426,103333333.3
16,2,42,0.0398,113333333.3
16,3,42,0.0411,126666666.7
32,1,42,0.0214,66666666.67
32,2,42,0.0328,60000000
32,3,42,0.0199,63333333.33
